code,description,hcc_v24,hcc_v28,is_specific,parent,children
A56.8,"Sexually transmitted chlamydial infection of other sites",,,true,,,
A57,"Chancroid",,,true,,,
A58,"Granuloma inguinale",,,true,,,
A59.00,"Urogenital trichomoniasis, unspecified",,,true,,,
A59.01,"Trichomonal vulvovaginitis",,,true,,,
A59.02,"Trichomonal prostatitis",,,true,,,
A59.03,"Trichomonal cystitis and urethritis",,,true,,,
A59.09,"Other urogenital trichomoniasis",,,true,,,
A59.8,"Trichomoniasis of other sites",,,true,,,
A59.9,"Trichomoniasis, unspecified",,,true,,,
A60.00,"Herpesviral infection of urogenital system, unspecified",,,true,,,
A60.01,"Herpesviral infection of penis",,,true,,,
A60.02,"Herpesviral infection of other male genital organs",,,true,,,
A60.03,"Herpesviral cervicitis",,,true,,,
A60.04,"Herpesviral vulvovaginitis",,,true,,,
A60.09,"Herpesviral infection of other urogenital tract",,,true,,,
A60.1,"Herpesviral infection of perianal skin and rectum",,,true,,,
A60.9,"Anogenital herpesviral infection, unspecified",,,true,,,
A63.0,"Anogenital (venereal) warts",,,true,,,
A63.8,"Other specified predominantly sexually transmitted diseases",,,true,,,
A64,"Unspecified sexually transmitted disease",,,true,,,
A65,"Nonvenereal syphilis",,,true,,,
A66.0,"Initial lesions of yaws",,,true,,,
A66.1,"Multiple papillomata and wet crab yaws",,,true,,,
A66.2,"Other early skin lesions of yaws",,,true,,,
A66.3,"Hyperkeratosis of yaws",,,true,,,
A66.4,"Gummata and ulcers of yaws",,,true,,,
A66.5,"Gangosa",,,true,,,
A66.6,"Bone and joint lesions of yaws",39,92,true,,,
A66.7,"Other manifestations of yaws",,,true,,,
A66.8,"Latent yaws",,,true,,,
A66.9,"Yaws, unspecified",,,true,,,
A67.0,"Primary lesions of pinta",,,true,,,
A67.1,"Intermediate lesions of pinta",,,true,,,
A67.2,"Late lesions of pinta",,,true,,,
A67.3,"Mixed lesions of pinta",,,true,,,
A67.9,"Pinta, unspecified",,,true,,,
A68.0,"Louse-borne relapsing fever",,,true,,,
A68.1,"Tick-borne relapsing fever",,,true,,,
A68.9,"Relapsing fever, unspecified",,,true,,,
A69.0,"Necrotizing ulcerative stomatitis",,,true,,,
A69.1,"Other Vincent's infections",,,true,,,
A69.20,"Lyme disease, unspecified",,,true,,,
A69.21,"Meningitis due to Lyme disease",,,true,,,
A69.22,"Other neurologic disorders in Lyme disease",,,true,,,
A69.23,"Arthritis due to Lyme disease",39,92,true,,,
A69.29,"Other conditions associated with Lyme disease",,,true,,,
A69.8,"Other specified spirochetal infections",,,true,,,
A69.9,"Spirochetal infection, unspecified",,,true,,,
A70,"Chlamydia psittaci infections",,,true,,,
A71.0,"Initial stage of trachoma",,,true,,,
A71.1,"Active stage of trachoma",,,true,,,
A71.9,"Trachoma, unspecified",,,true,,,
A74.0,"Chlamydial conjunctivitis",,,true,,,
A74.81,"Chlamydial peritonitis",,,true,,,
A74.89,"Other chlamydial diseases",,,true,,,
A74.9,"Chlamydial infection, unspecified",,,true,,,
A75.0,"Epidemic louse-borne typhus fever due to Rickettsia prowazekii",,,true,,,
