code,description,hcc_v24,hcc_v28,is_specific,parent,children
S72.122D,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.122E,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.122F,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.122G,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.122H,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.122J,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.122K,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.122M,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.122N,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.122P,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.122Q,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.122R,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.122S,"Displaced fracture of lesser trochanter of left femur, sequela",,,true,,,
S72.123A,"Displaced fracture of lesser trochanter of unspecified femur, initial encounter for closed fracture",170,402,true,,,
S72.123B,"Displaced fracture of lesser trochanter of unspecified femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.123C,"Displaced fracture of lesser trochanter of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.123D,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.123E,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.123F,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.123G,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.123H,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.123J,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.123K,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.123M,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.123N,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.123P,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.123Q,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.123R,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.123S,"Displaced fracture of lesser trochanter of unspecified femur, sequela",,,true,,,
S72.124A,"Nondisplaced fracture of lesser trochanter of right femur, initial encounter for closed fracture",170,402,true,,,
S72.124B,"Nondisplaced fracture of lesser trochanter of right femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.124C,"Nondisplaced fracture of lesser trochanter of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.124D,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.124E,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.124F,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.124G,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.124H,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.124J,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.124K,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.124M,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.124N,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.124P,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.124Q,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.124R,"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.124S,"Nondisplaced fracture of lesser trochanter of right femur, sequela",,,true,,,
S72.125A,"Nondisplaced fracture of lesser trochanter of left femur, initial encounter for closed fracture",170,402,true,,,
S72.125B,"Nondisplaced fracture of lesser trochanter of left femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.125C,"Nondisplaced fracture of lesser trochanter of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.125D,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.125E,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.125F,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.125G,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.125H,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.125J,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.125K,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.125M,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.125N,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.125P,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.125Q,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.125R,"Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.125S,"Nondisplaced fracture of lesser trochanter of left femur, sequela",,,true,,,
S72.126A,"Nondisplaced fracture of lesser trochanter of unspecified femur, initial encounter for closed fracture",170,402,true,,,
S72.126B,"Nondisplaced fracture of lesser trochanter of unspecified femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.126C,"Nondisplaced fracture of lesser trochanter of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.126D,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.126E,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.126F,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.126G,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.126H,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.126J,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.126K,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.126M,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.126N,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.126P,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.126Q,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.126R,"Nondisplaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.126S,"Nondisplaced fracture of lesser trochanter of unspecified femur, sequela",,,true,,,
S72.131A,"Displaced apophyseal fracture of right femur, initial encounter for closed fracture",170,402,true,,,
S72.131B,"Displaced apophyseal fracture of right femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.131C,"Displaced apophyseal fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.131D,"Displaced apophyseal fracture of right femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.131E,"Displaced apophyseal fracture of right femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.131F,"Displaced apophyseal fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.131G,"Displaced apophyseal fracture of right femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.131H,"Displaced apophyseal fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.131J,"Displaced apophyseal fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.131K,"Displaced apophyseal fracture of right femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.131M,"Displaced apophyseal fracture of right femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.131N,"Displaced apophyseal fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.131P,"Displaced apophyseal fracture of right femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.131Q,"Displaced apophyseal fracture of right femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.131R,"Displaced apophyseal fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.131S,"Displaced apophyseal fracture of right femur, sequela",,,true,,,
S72.132A,"Displaced apophyseal fracture of left femur, initial encounter for closed fracture",170,402,true,,,
S72.132B,"Displaced apophyseal fracture of left femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.132C,"Displaced apophyseal fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.132D,"Displaced apophyseal fracture of left femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.132E,"Displaced apophyseal fracture of left femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.132F,"Displaced apophyseal fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.132G,"Displaced apophyseal fracture of left femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.132H,"Displaced apophyseal fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.132J,"Displaced apophyseal fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.132K,"Displaced apophyseal fracture of left femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.132M,"Displaced apophyseal fracture of left femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.132N,"Displaced apophyseal fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.132P,"Displaced apophyseal fracture of left femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.132Q,"Displaced apophyseal fracture of left femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.132R,"Displaced apophyseal fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.132S,"Displaced apophyseal fracture of left femur, sequela",,,true,,,
S72.133A,"Displaced apophyseal fracture of unspecified femur, initial encounter for closed fracture",170,402,true,,,
S72.133B,"Displaced apophyseal fracture of unspecified femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.133C,"Displaced apophyseal fracture of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.133D,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.133E,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.133F,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.133G,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.133H,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.133J,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.133K,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.133M,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.133N,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.133P,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.133Q,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.133R,"Displaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.133S,"Displaced apophyseal fracture of unspecified femur, sequela",,,true,,,
S72.134A,"Nondisplaced apophyseal fracture of right femur, initial encounter for closed fracture",170,402,true,,,
S72.134B,"Nondisplaced apophyseal fracture of right femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.134C,"Nondisplaced apophyseal fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.134D,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.134E,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.134F,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.134G,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.134H,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.134J,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.134K,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.134M,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.134N,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.134P,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.134Q,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.134R,"Nondisplaced apophyseal fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.134S,"Nondisplaced apophyseal fracture of right femur, sequela",,,true,,,
S72.135A,"Nondisplaced apophyseal fracture of left femur, initial encounter for closed fracture",170,402,true,,,
S72.135B,"Nondisplaced apophyseal fracture of left femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.135C,"Nondisplaced apophyseal fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.135D,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.135E,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.135F,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.135G,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.135H,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.135J,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.135K,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.135M,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.135N,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.135P,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.135Q,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.135R,"Nondisplaced apophyseal fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.135S,"Nondisplaced apophyseal fracture of left femur, sequela",,,true,,,
S72.136A,"Nondisplaced apophyseal fracture of unspecified femur, initial encounter for closed fracture",170,402,true,,,
S72.136B,"Nondisplaced apophyseal fracture of unspecified femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.136C,"Nondisplaced apophyseal fracture of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.136D,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.136E,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.136F,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.136G,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.136H,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.136J,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.136K,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.136M,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.136N,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.136P,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.136Q,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.136R,"Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.136S,"Nondisplaced apophyseal fracture of unspecified femur, sequela",,,true,,,
S72.141A,"Displaced intertrochanteric fracture of right femur, initial encounter for closed fracture",170,402,true,,,
S72.141B,"Displaced intertrochanteric fracture of right femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.141C,"Displaced intertrochanteric fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.141D,"Displaced intertrochanteric fracture of right femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.141E,"Displaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.141F,"Displaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.141G,"Displaced intertrochanteric fracture of right femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.141H,"Displaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.141J,"Displaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.141K,"Displaced intertrochanteric fracture of right femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.141M,"Displaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.141N,"Displaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.141P,"Displaced intertrochanteric fracture of right femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.141Q,"Displaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.141R,"Displaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.141S,"Displaced intertrochanteric fracture of right femur, sequela",,,true,,,
S72.142A,"Displaced intertrochanteric fracture of left femur, initial encounter for closed fracture",170,402,true,,,
S72.142B,"Displaced intertrochanteric fracture of left femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.142C,"Displaced intertrochanteric fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.142D,"Displaced intertrochanteric fracture of left femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.142E,"Displaced intertrochanteric fracture of left femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.142F,"Displaced intertrochanteric fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.142G,"Displaced intertrochanteric fracture of left femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.142H,"Displaced intertrochanteric fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.142J,"Displaced intertrochanteric fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.142K,"Displaced intertrochanteric fracture of left femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.142M,"Displaced intertrochanteric fracture of left femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.142N,"Displaced intertrochanteric fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.142P,"Displaced intertrochanteric fracture of left femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.142Q,"Displaced intertrochanteric fracture of left femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.142R,"Displaced intertrochanteric fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.142S,"Displaced intertrochanteric fracture of left femur, sequela",,,true,,,
S72.143A,"Displaced intertrochanteric fracture of unspecified femur, initial encounter for closed fracture",170,402,true,,,
S72.143B,"Displaced intertrochanteric fracture of unspecified femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.143C,"Displaced intertrochanteric fracture of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.143D,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.143E,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.143F,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.143G,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.143H,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.143J,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.143K,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.143M,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.143N,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.143P,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.143Q,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.143R,"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.143S,"Displaced intertrochanteric fracture of unspecified femur, sequela",,,true,,,
S72.144A,"Nondisplaced intertrochanteric fracture of right femur, initial encounter for closed fracture",170,402,true,,,
S72.144B,"Nondisplaced intertrochanteric fracture of right femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.144C,"Nondisplaced intertrochanteric fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.144D,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for closed fracture with routine healing",,,true,,,
S72.144E,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type I or II with routine healing",,,true,,,
S72.144F,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",,,true,,,
S72.144G,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for closed fracture with delayed healing",,,true,,,
S72.144H,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing",,,true,,,
S72.144J,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",,,true,,,
S72.144K,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for closed fracture with nonunion",,,true,,,
S72.144M,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type I or II with nonunion",,,true,,,
S72.144N,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",,,true,,,
S72.144P,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for closed fracture with malunion",,,true,,,
S72.144Q,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type I or II with malunion",,,true,,,
S72.144R,"Nondisplaced intertrochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",,,true,,,
S72.144S,"Nondisplaced intertrochanteric fracture of right femur, sequela",,,true,,,
S72.145A,"Nondisplaced intertrochanteric fracture of left femur, initial encounter for closed fracture",170,402,true,,,
S72.145B,"Nondisplaced intertrochanteric fracture of left femur, initial encounter for open fracture type I or II",170,402,true,,,
S72.145C,"Nondisplaced intertrochanteric fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",170,402,true,,,
S72.145D,"Nondisplaced intertrochanteric fracture of left femur, subsequent encounter for closed fracture with routine healing",,,true,,,
